# Decoded from radio-capture.bin by scripts/lib/mavlink.py FrameDecoder; regenerate, do not edit.
# 210 bytes, sha256 a39ee2729ec28e75822637c31e3d66bed0c4db4730211fb312b21f4dbbeff51e
| # | msgid | seq | sysid | compid | crc_ok | bytes |
|---|---|---|---|---|---|---|
| 0 | 0 | 0 | 1 | 191 | True | `fd0900000001bf000000000000001208000403aec6` |
| 1 | 0 | 1 | 1 | 191 | True | `fd0900000101bf000000000000001208000403be48` |
| 2 | 0 | 2 | 1 | 191 | True | `fd0900000201bf0000000000000012080004039fd2` |
| 3 | 0 | 3 | 1 | 191 | True | `fd0900000301bf0000000000000012080004038f5c` |
| 4 | 0 | 4 | 1 | 191 | True | `fd0900000401bf000000000000001208000403ccee` |
| 5 | 0 | 5 | 1 | 191 | True | `fd0900000501bf000000000000001208000403dc60` |
| 6 | 0 | 6 | 1 | 191 | True | `fd0900000601bf000000000000001208000403fdfa` |
| 7 | 0 | 7 | 1 | 191 | True | `fd0900000701bf000000000000001208000403ed74` |
| 8 | 0 | 8 | 1 | 191 | True | `fd0900000801bf0000000000000012080004036a96` |
| 9 | 0 | 9 | 1 | 191 | True | `fd0900000901bf0000000000000012080004037a18` |

identical to encode_heartbeat(0..9): True
